SYMBOL,COUNT
DIAMONDYD,1
DICIND,1
DIGJAMLTD,1
DISHTV,1
DIVISLAB,1
DIXON,1
DLF,2
DLINKINDIA,1
DMART,1
DOLLAR,1
DOLPHINOFF,1
DONEAR,1
DPSCLTD,1
DQE,1
DREDGECORP,1
DRREDDY,1
DSSL,1
DTIL,2
DUCON,1
DVL,1
DWARKESH,1
DYNAMATECH,1
DYNPRO,1
EASUNREYRL,1
ECLERX,1
EDELWEISS,2
EICHERMOT,1
EIDPARRY,1
EIHAHOTELS,1
EIHOTEL,1
EIMCOELECO,1
EKC,2
ELAND,1
ELECON,2
ELECTCAST,1
ELECTHERM,1
ELGIEQUIP,1
ELGIRUBCO,1
EMAMILTD,1
EMAMIPAP,1
EMAMIREAL,1
EMKAY,2
EMMBI,1
ENDURANCE,1
ENERGYDEV,1
ENGINERSIN,1
ENIL,1
EON,2
EQ30,1
EQUITAS,1
ERIS,1
EROSMEDIA,1
ESABINDIA,1
ESCORTS,2
ESSARSHPNG,1
ESSELPACK,1
ESTER,2
EUROTEXIND,1
EVEREADY,2
EVERESTIND,1
EXCELCROP,1
EXCELINDUS,1
EXIDEIND,1
EXPLEOSOL,1
FACT,2
FAIRCHEM,1
FCL,2
FCONSUMER,1
FCSSOFT,1
FDC,2
FEDERALBNK,1
FEL,2
FELDVR,1
FIEMIND,1
FILATEX,2
FINCABLES,1
FINEORG,1
FINPIPE,1
FLEXITUFF,1
FLFL,1
FMGOETZE,1
FMNL,1
FORTIS,2
FOSECOIND,1
FRETAIL,1
FSC,2
FSL,2
GABRIEL,1
GAEL,1
GAIL,1
GAL,2
GALAXYSURF,1
GALLANTT,2
GALLISPAT,1
GAMMNINFRA,1
GANDHITUBE,1
GANECOS,1
GANESHHOUC,1
GANGESSECU,1
GARDENSILK,1
GARFIBRES,1
GATI,2
GAYAHWS,1
GAYAPROJ,1
GDL,1
GEECEE,1
GENESYS,1
GENUSPAPER,1
GENUSPOWER,1
GEOJITFSL,1
GEPIL,1
GESHIP,2
GET&D,2
GFLLIMITED,1
GHCL,1
GICHSGFIN,1
GICRE,1
GILLANDERS,1
GILLETTE,1
GINNIFILA,1
GIPCL,1
GKWLIMITED,1
GLAXO,2
GLENMARK,2
GLOBALVECT,1
GLOBOFFS,1
GLOBUSSPR,1
GMBREW,1
GMDCLTD,1
GMMPFAUDLR,1
GMRINFRA,1
GNA,2
GNFC,1
GOACARBON,1
GOCLCORP,1
GODFRYPHLP,1
GODREJAGRO,1
GODREJCP,1
GODREJIND,2
GODREJPROP,1
GOKEX,1
GOLDBEES,1
GOLDENTOBC,1
GOLDIAM,1
GOLDSHARE,1
GOLDTECH,2
GOODLUCK,1
GPIL,1
GPPL,1
GPTINFRA,1
GRANULES,1
GRAPHITE,2
GRASIM,1
GRAVITA,1
GREAVESCOT,1
GREENLAM,1
GREENPLY,1
GREENPOWER,1
GRINDWELL,2
GROBTEA,1
GRPLTD,1
GRSE,1
GRUH,1
GSCLCEMENT,1
GSFC,1
GSKCONS,1
GSPL,1
GSS,1
GTL,2
GTLINFRA,1
GTNIND,1
GTNTEX,2
GTPL,1
GUFICBIO,1
GUJALKALI,1
GUJAPOLLO,1
GUJGASLTD,1
GULFOILLUB,1
GULFPETRO,1
GULPOLY,1
GVKPIL,1
HAL,2
HARITASEAT,1
HARRMALAYA,1
HATHWAY,2
HATSUN,1
HAVELLS,1
HBLPOWER,1
HCC,1
HCG,2
HCL-INSYS,1
HCLTECH,1
HDFC,2
HDFCAMC,1
HDFCBANK,1
HDFCLIFE,1
HDFCMFGETF,1
HDFCNIFETF,1
HDFCSENETF,1
HDIL,1
HEG,1
HEIDELBERG,1
HERCULES,1
HERITGFOOD,1
HEROMOTOCO,1
HESTERBIO,1
HEXAWARE,1
HFCL,1
HGINFRA,1
HGS,1
HIGHGROUND,1
HIKAL,2
HIL,2
HILTON,1
HIMATSEIDE,1
HINDALCO,1
HINDCOMPOS,1
HINDCOPPER,1
HINDMOTORS,1
HINDNATGLS,1
HINDOILEXP,1
HINDPETRO,1
HINDUJAVEN,1
HINDUNILVR,1
HINDZINC,1
HIRECT,1
HISARMETAL,1
HITECH,2
HITECHCORP,1
HITECHGEAR,1
HMVL,1
HONAUT,1
HONDAPOWER,1
HOTELEELA,1
HOVS,1
HPL,2
HSCL,1
HSIL,2
HTMEDIA,1
HUBTOWN,1
HUDCO,1
IBMFNIFTY,1
IBREALEST,1
IBULHSGFIN,1
IBULISL,1
IBVENTURES,1
ICICI500,1
ICICIB22,1
ICICIBANK,2
ICICIBANKN,1
ICICIGI,1
ICICIGOLD,1
ICICILIQ,1
ICICILOVOL,1
ICICIMCAP,1
ICICINF100,1
ICICINIFTY,1
ICICINV20,1
ICICINXT50,1
ICICIPRULI,1
ICICISENSX,1
ICIL,2
ICRA,1
IDBI,2
IDBIGOLD,1
IDEA,2
IDFC,2
IDFCFIRSTB,1
IDFNIFTYET,1
IEX,2
IFBAGRO,1
IFBIND,1
IFCI,1
IFGLEXPOR,1
IGARASHI,1
IGL,2
IGPL,1
IIFL,2
IITL,2
IMFA,2
IMPAL,1
INDBANK,2
INDHOTEL,1
INDIACEM,1
INDIAGLYCO,1
INDIAMART,1
INDIANB,1
INDIANCARD,1
INDIANHUME,1
INDIGO,1
INDLMETER,1
INDNIPPON,1
INDOCO,2
INDORAMA,1
INDOSTAR,1
INDOTECH,1
INDOTHAI,1
INDOWIND,1
INDRAMEDCO,1
INDSWFTLAB,1
INDSWFTLTD,1
INDTERRAIN,1
INDUSINDBK,1
INEOSSTYRO,1
INFIBEAM,1
INFOBEAN,2
INFRABEES,1
INFRATEL,1
INFY,1
INGERRAND,1
INOXLEISUR,1
INOXWIND,1
INSECTICID,1
INSPIRISYS,1
INTELLECT,1
INTENTECH,1
INVENTURE,1
IOB,2
IOC,2
IOLCP,1
IPAPPM,1
IPCALAB,1
IRB,2
IRCON,2
ISEC,2
ISFT,2
ISMTLTD,1
ITC,2
ITDC,2
ITDCEM,1
ITI,2
IVC,2
IVP,2
IVZINGOLD,1
IVZINNIFTY,1
IZMO,1
J&KBANK,2
JAGRAN,1
JAGSNPHARM,1
JAIBALAJI,1
JAICORPLTD,1
JAMNAAUTO,1
JAYAGROGN,1
JAYBARMARU,1
JAYSREETEA,1
JBCHEPHARM,1
JBFIND,1
JBMA,1
JCHAC,1
JHS,1
JINDALPOLY,1
JINDALSAW,1
JINDALSTEL,1
JINDCOT,1
JINDRILL,1
JINDWORLD,1
JISLDVREQS,1
JISLJALEQS,1
JKCEMENT,1
JKIL,1
JKLAKSHMI,1
JKPAPER,1
JKTYRE,1
JMA,2
JMCPROJECT,1
JMFINANCIL,1
JOCIL,1
JPASSOCIAT,1
JPINFRATEC,1
JPOLYINVST,1
JPPOWER,1
JSL,2
JSLHISAR,1
JSWENERGY,1
JSWHL,1
JSWSTEEL,1
JTEKTINDIA,1
JUBILANT,2
JUBLFOOD,1
JUBLINDS,1
JUNIORBEES,1
JUSTDIAL,1
JYOTHYLAB,1
KABRAEXTRU,1
KAJARIACER,1
KAKATCEM,1
KALPATPOWR,1
KAMATHOTEL,1
KAMDHENU,1
KANANIIND,1
KANORICHEM,1
KANSAINER,1
KARDA,1
KARMAENG,1
KARURVYSYA,1
KAVVERITEL,1
KAYA,2
KCP,2
KCPSUGIND,1
KDDL,1
KEC,2
KECL,1
KEI,2
KELLTONTEC,1
KESORAMIND,1
KEYFINSERV,1
KHADIM,1
KHAITANLTD,1
KICL,1
KILITCH,1
KINGFA,1
KIOCL,1
KIRIINDUS,1
KIRLOSBROS,1
KIRLOSENG,1
KIRLOSIND,1
KITEX,1
KKCL,1
KMSUGAR,1
KNRCON,1
KOHINOOR,1
KOKUYOCMLN,1
KOLTEPATIL,1
KOPRAN,2
KOTAKBANK,1
KOTAKBKETF,1
KOTAKGOLD,1
KOTAKNIFTY,1
KOTAKNV20,1
KOTAKPSUBK,1
KOTARISUG,1
KOTHARIPET,1
KOTHARIPRO,1
KPITTECH,1
KPRMILL,1
KRBL,1
KREBSBIO,1
KSB,1
KSCL,1
KSERASERA,1
KSK,1
KSL,1
KTIL,1
KTKBANK,1
KWALITY,1
L&TFH,2
LAKSHVILAS,1
LALPATHLAB,1
LAMBODHARA,1
LAOPALA,1
LASA,2
LAURUSLABS,1
LAXMIMACH,1
LEMONTREE,1
LFIC,1
LGBBROSLTD,1
LIBAS,1
LIBERTSHOE,1
LICHSGFIN,1
LICNETFGSC,1
LICNETFN50,1
LICNFNHGP,1
LINCOLN,1
LINCPEN,1
LINDEINDIA,1
LIQUIDBEES,1
LIQUIDETF,1
LOKESHMACH,1
LOTUSEYE,1
LOVABLE,1
LPDC,1
LSIL,1
LT,2
LTI,2
LTTS,1
LUMAXIND,1
LUMAXTECH,1
LUPIN,2
LUXIND,1
LYKALABS,1
LYPSAGEMS,1
M&M,2
M&MFIN,2
M100,1
M50,1
MAANALU,1
MADHAV,2
MADHUCON,1
MADRASFERT,1
MAGADSUGAR,1
MAGMA,1
MAHABANK,1
MAHESHWARI,1
MAHINDCIE,1
MAHLIFE,1
MAHLOG,1
MAHSCOOTER,1
MAHSEAMLES,1
MAITHANALL,1
MAJESCO,1
MALUPAPER,1
MAN50ETF,1
MANAKALUCO,1
MANAKCOAT,1
MANAKSIA,2
MANAKSTEEL,1
MANALIPETC,1
MANAPPURAM,1
MANGALAM,2
MANGCHEFER,1
MANGLMCEM,1
MANINDS,1
MANINFRA,1
MANPASAND,1
MANUGRAPH,2
MARALOVER,1
MARATHON,1
MARICO,2
MARKSANS,1
MARUTI,2
MASFIN,1
MASTEK,1
MATRIMONY,1
MAWANASUG,1
MAXINDIA,1
MAXVIL,1
MAYURUNIQ,1
MAZDA,2
MBLINFRA,1
MCDHOLDING,1
MCDOWELL-N,1
MCLEODRUSS,1
MCX,2
MEGH,2
MENONBE,1
MEP,2
METROPOLIS,1
MFSL,2
MGL,1
MHRIL,1
MIDHANI,1
MINDACORP,1
MINDAIND,1
MINDTECK,1
MINDTREE,1
MIRCELECTR,1
MIRZAINT,1
MMFL,1
MMTC,1
MOHITIND,1
MOHOTAIND,1
MOIL,1
MOLDTECH,1
MOLDTKPAC,1
MONSANTO,1
MONTECARLO,1
MORARJEE,2
MOREPENLAB,1
MOTHERSUMI,1
MOTILALOFS,1
MPHASIS,1
MPSLTD,1
MRF,2
MRPL,1
MSPL,1
MSTCLTD,1
MTEDUCARE,1
MTNL,1
MUKANDENGG,1
MUKANDLTD,1
MUKTAARTS,1
