SYMBOL,COUNT
WOCKPHARMA,1
WONDERLA,1
WSTCSTPAPR,1
XCHANGING,1
XELPMOC,1
XPROINDIA,1
YESBANK,1
ZEEL,2
ZEELEARN,1
ZEEMEDIA,1
ZENITHEXPO,1
ZENSARTECH,1
ZENTEC,1
ZODIACLOTH,1
ZODJRDMKJ,1
ZUARI,2
ZUARIGLOB,1
ZYDUSWELL,1
